Tên khu đại lý,Mã khu vực đại lý,Tên điểm GD,Mã khu vực,Tên điểm tiếp theo,Mã điểm tiếp theo
Khu vực Miền Nam,SR0001,HCM HUB,C26,SETN,TNI006M
Khu vực Miền Nam,SR0001,HCM HUB,C22,VT LONG ĐẤT,HCM043A
Khu vực Miền Nam,SR0001,HCM HUB,C12,SG PHÚ NHUẬN,HCM046A
Khu vực Miền Nam,SR0001,HCM HUB,B10,SG GÒ VẤP,HCM040A
Khu vực Miền Nam,SR0001,HCM HUB,A16,SG THỦ ĐỨC,HCM022D
Khu vực Miền Nam,SR0001,HCM HUB,A03,SG TÂN THỚI HIỆP,HCM011D
Khu vực Miền Nam,SR0001,HCM HUB,C25,BD BẾN CÁT,HCM050A
Khu vực Miền Nam,SR0001,HCM HUB,C09,LA HẬU NGHĨA,TNI005A
Khu vực Miền Nam,SR0001,HCM HUB,C08,TG GÒ CÔNG,DTP008A
Khu vực Đông Bắc,BNI001,BN HUB,B31,THN THÁI NGUYÊN,TNG001A
Khu vực Đông Bắc,BNI001,BN HUB,B30,THN PHÚ LƯƠNG,TNG002A
Khu vực Đông Bắc,BNI001,BN HUB,B29,PT THANH THỦY,PTH001A
Khu vực Đông Bắc,BNI001,BN HUB,B28,PT VIỆT TRÌ,PTH008A
Khu vực Đông Bắc,BNI001,BN HUB,B27,PT PHÚ THỌ,PTH009A
Khu vực Đông Bắc,BNI001,BN HUB,A30,VP VĨNH YÊN,PTH004A
Khu vực Đông Bắc,BNI001,BN HUB,A29,VP YÊN LẠC,PTH002A
Khu vực Đông Bắc,BNI001,BN HUB,A28,VP VĨNH TƯỜNG,PTH003A
Khu vực Đông Bắc,BNI001,BN HUB,A27,HD Chí Linh,HPG001A
Khu vực Đông Bắc,BNI001,BN HUB,B26,HN HÀ NAM,NBI001A
Khu vực Đông Bắc,BNI001,BN HUB,B25,HN PHỦ LÝ,NBI003A
Khu vực Đông Bắc,BNI001,BN HUB,B24,HP HẢI AN,HPG004A
Khu vực Đông Bắc,BNI001,BN HUB,B23,HP AN DƯƠNG,HPG003A
Khu vực Đông Bắc,BNI001,BN HUB,B22,HP THỦY NGUYÊN,HPG005A
Khu vực Đông Bắc,BNI001,BN HUB,B21,HY ÂN THI,HYE005A
Khu vực Đông Bắc,BNI001,BN HUB,B20,HY KIM ĐỘNG,HYE004A
Khu vực Đông Bắc,BNI001,BN HUB,B19,HY PHỐ HIẾN,HYE003A
Khu vực Đông Bắc,BNI001,BN HUB,A26,HD KINH MÔN,HPG002A
Khu vực Đông Bắc,BNI001,BN HUB,A25,ND HẢI HƯNG,NBI005A
Khu vực Đông Bắc,BNI001,BN HUB,A24,NB YÊN MÔ,NBI004A
Khu vực Đông Bắc,BNI001,BN HUB,A23,NB NINH BÌNH,NBI006A
Khu vực Đông Bắc,BNI001,BN HUB,A22,TB THÁI BÌNH,HYE002A
Khu vực Đông Bắc,BNI001,BN HUB,A21,BN GIA BÌNH,BNI007A
Khu vực Đông Bắc,BNI001,BN HUB,A20,LS CAO LỘC,LSN004A
Khu vực Đông Bắc,BNI001,BN HUB,A04,ND GIAO THỦY,NBI009A
Khu vực Đông Bắc,BNI001,BN HUB,A02,ND NAM ĐỊNH,NBI007A
Khu vực Đông Bắc,BNI001,BN HUB,B10,HN CẦU GIẤY,HNI006A
Khu vực Đông Bắc,BNI001,BN HUB,B08,HN BA VÌ,HNI036A
Khu vực Miền Nam,SR0001,HCM HUB,C10,SG XUÂN HÒA,HCM049A
Khu vực Miền Nam,SR0001,HCM HUB,C24,BD BÌNH HÒA,HCM048A
Khu vực Miền Nam,SR0001,HCM HUB,B06,SG HIỆP BÌNH,HCM047A
Khu vực Miền Bắc,HNI002,BN HUB,B18,HY VĂN GIANG,HYE001A
Khu vực Miền Bắc,HNI002,BN HUB,B16,BN YÊN PHONG,BNI006A
Khu vực Miền Bắc,HNI002,BN HUB,B15,BN TỪ SƠN,BNI005A
