station,ETA
VT CHÂU ĐỨC,7.3
VT XUYÊN MỘC,7.3
VT LONG ĐẤT,7.3
VT VŨNG TÀU,7.3
DT CAO LÃNH,7.2
AG TÂN CHÂU,7.0
AG AN PHÚ,7.0
CT Ô MÔN,6.9
CT BÌNH THỦY,6.9
ST PHÚ LỢI,6.7
ST VĨNH CHÂU,6.7
DT SA ĐÉC,6.3
AG CẦN ĐĂNG,6.2
AG LONG XUYÊN,6.2
AG TỊNH BIÊN,5.9
AG THOẠI SƠN,5.9
CT LONG MỸ,5.9
CT NINH KIỀU,5.9
TG HÒA KHÁNH,4.8
TG AN HỮU,4.8
VL VĨNH LONG,4.8
SG KHÁNH HỘI,4.1
SG PHÚ NHUẬN,3.5
BD DĨ AN,3.4
VL CHỢ LÁCH,3.3
TG TRUNG AN,3.3
LA BẾN LỨC,2.7
LA TÂN AN,2.7
BD BÌNH HÒA,2.4
TG GÒ CÔNG,2.3
BD BẾN CÁT,2.1
SG HƯNG LONG,2.1
SG BÌNH LỢI TRUNG,2.0
SG HIỆP BÌNH,1.6
SG BẢY HIỀN,1.6
SG XUÂN HÒA,1.4
SG THỦ ĐỨC,1.3
SG PHÚ LÂM,1.3
SG TÂN HƯNG,1.2
SG BÌNH TRỊ ĐÔNG,1.1
SG GÒ VẤP,1.1
SG AN PHÚ ĐÔNG,1.1
SG TÂN TẠO,1.0
SG TÂN THỚI HIỆP,1.0
SG TÂN SƠN NHÌ,0.8
SG ĐÔNG HƯNG THUẬN,0.8
SG HÓC MÔN,0.8
SG TÂN NHỰT,0.8
SG VĨNH LỘC,0.7
SG BÌNH TÂN,0.7
SG CỦ CHI,0.7
SG CHỢ LỚN,0.6
SG BÌNH LỢI,0.5
SG XUÂN THỚI SƠN,0.4
SG BÀ ĐIỂM,0.3
SG NHƠN ĐỨC,0.1
LA HẬU NGHĨA,0.0
BN HUB,36.0
