station_id,station_name,display_order,is_active,master_area,updated_at
ST_001,AG LONG XUYÊN,1,1,HCM 胡志明大区,2026-06-29T20:38:22.820334
ST_002,AG CẦN ĐĂNG,2,1,HCM 胡志明大区,2026-06-29T20:38:22.820385
ST_003,AG AN PHÚ,3,1,HCM 胡志明大区,2026-06-29T20:38:22.820416
ST_004,AG TÂN CHÂU,4,1,HCM 胡志明大区,2026-06-29T20:38:22.820441
ST_005,AG THOẠI SƠN,5,1,HCM 胡志明大区,2026-06-29T20:38:22.820464
ST_006,AG TỊNH BIÊN,6,1,HCM 胡志明大区,2026-06-29T20:38:22.820487
ST_007,VL CHỢ LÁCH,7,1,HCM 胡志明大区,2026-06-29T20:38:22.820509
ST_008,SG BÌNH LỢI,8,1,HCM 胡志明大区,2026-06-29T20:38:22.820530
ST_009,SG TÂN TẠO,9,1,HCM 胡志明大区,2026-06-29T20:38:22.820554
ST_010,SG XUÂN THỚI SƠN,10,1,HCM 胡志明大区,2026-06-29T20:38:22.820575
ST_011,SG BÌNH TÂN,11,1,HCM 胡志明大区,2026-06-29T20:38:22.820596
ST_012,SG AN LẠC,12,1,HCM 胡志明大区,2026-06-29T20:38:22.820617
ST_013,SG VĨNH LỘC,13,1,HCM 胡志明大区,2026-06-29T20:38:22.820637
ST_014,SG TÂN NHỰT,14,1,HCM 胡志明大区,2026-06-29T20:38:22.820657
ST_015,CT NINH KIỀU,15,1,HCM 胡志明大区,2026-06-29T20:38:22.820675
ST_016,CT BÌNH THỦY,16,1,HCM 胡志明大区,2026-06-29T20:38:22.820694
ST_017,CT Ô MÔN,17,1,HCM 胡志明大区,2026-06-29T20:38:22.820714
ST_018,SG THỦ ĐỨC,18,1,HCM 胡志明大区,2026-06-29T20:38:22.820735
ST_019,DT CAO LÃNH,19,1,HCM 胡志明大区,2026-06-29T20:38:22.820755
ST_020,DT SA ĐÉC,20,1,HCM 胡志明大区,2026-06-29T20:38:22.820774
ST_021,SG XUÂN HÒA,21,1,HCM 胡志明大区,2026-06-29T20:38:22.820793
ST_022,SG PHÚ NHUẬN,22,1,HCM 胡志明大区,2026-06-29T20:38:22.820812
ST_023,CT LONG MỸ,23,1,HCM 胡志明大区,2026-06-29T20:38:22.820831
ST_024,LA TÂN AN,24,1,HCM 胡志明大区,2026-06-29T20:38:22.820849
ST_025,LA ĐỨC HÒA,25,1,HCM 胡志明大区,2026-06-29T20:38:22.820868
ST_026,LA BẾN LỨC,26,1,HCM 胡志明大区,2026-06-29T20:38:22.820887
ST_027,ST PHÚ LỢI,27,1,HCM 胡志明大区,2026-06-29T20:38:22.820918
ST_028,ST VĨNH CHÂU,28,1,HCM 胡志明大区,2026-06-29T20:38:22.820944
ST_029,SG TÂN HƯNG,29,1,HCM 胡志明大区,2026-06-29T20:38:22.820965
ST_030,SG KHÁNH HỘI,30,1,HCM 胡志明大区,2026-06-29T20:38:22.820985
ST_031,SG HƯNG LONG,31,1,HCM 胡志明大区,2026-06-29T20:38:22.821005
ST_032,SG NHƠN ĐỨC,32,1,HCM 胡志明大区,2026-06-29T20:38:22.821027
ST_033,SG AN PHÚ ĐÔNG,33,1,HCM 胡志明大区,2026-06-29T20:38:22.821046
ST_034,SG BÌNH LỢI TRUNG,34,1,HCM 胡志明大区,2026-06-29T20:38:22.821067
ST_035,SG GÒ VẤP,35,1,HCM 胡志明大区,2026-06-29T20:38:22.821087
ST_036,SG BẢY HIỀN,36,1,HCM 胡志明大区,2026-06-29T20:38:22.821106
ST_037,SG HIỆP BÌNH,37,1,HCM 胡志明大区,2026-06-29T20:38:22.821125
ST_038,SG ĐÔNG HƯNG THUẬN,38,1,HCM 胡志明大区,2026-06-29T20:38:22.821143
ST_039,SG PHÚ LÂM,39,1,HCM 胡志明大区,2026-06-29T20:38:22.821161
ST_040,SG TÂN SƠN NHÌ,40,1,HCM 胡志明大区,2026-06-29T20:38:22.821179
ST_041,SG BÌNH TRỊ ĐÔNG,41,1,HCM 胡志明大区,2026-06-29T20:38:22.821198
ST_042,SG CHỢ LỚN,42,1,HCM 胡志明大区,2026-06-29T20:38:22.821218
ST_043,TG MỸ THO,43,1,HCM 胡志明大区,2026-06-29T20:38:22.821237
ST_044,TG AN HỮU,44,1,HCM 胡志明大区,2026-06-29T20:38:22.821256
ST_045,TG TRUNG AN,45,1,HCM 胡志明大区,2026-06-29T20:38:22.821275
ST_046,TG HÒA KHÁNH,46,1,HCM 胡志明大区,2026-06-29T20:38:22.821294
ST_047,VL VĨNH LONG,47,1,HCM 胡志明大区,2026-06-29T20:38:22.821312
ST_048,SG CỦ CHI,48,1,HCM 胡志明大区,2026-06-29T20:38:22.821332
ST_049,SG HÓC MÔN,49,1,HCM 胡志明大区,2026-06-29T20:38:22.821352
ST_050,SG TÂN THỚI HIỆP,50,1,HCM 胡志明大区,2026-06-29T20:38:22.821370
ST_051,BN HUB,51,1,HN,2026-06-29T20:38:22.821389
ST_052,BD BÌNH HÒA,52,1,SE 东南大区,2026-06-29T20:38:22.821408
ST_053,BD DĨ AN,53,1,SE 东南大区,2026-06-29T20:38:22.821427
ST_054,VT VŨNG TÀU,54,1,SE 东南大区,2026-06-29T20:38:22.821448
ST_055,VT LONG ĐẤT,55,1,SE 东南大区,2026-06-29T20:38:22.821470
ST_056,VT CHÂU ĐỨC,56,1,SE 东南大区,2026-06-29T20:38:22.821489
ST_057,VT XUYÊN MỘC,57,1,SE 东南大区,2026-06-29T20:38:22.821509
ST_058,LA BYD,58,1,HCM 胡志明大区,2026-08-01T11:25:00.000000
ST_059,TG GÒ CÔNG,59,1,HCM 胡志明大区,2026-08-01T11:25:00.000000
ST_060,LA HẬU NGHĨA,60,1,HCM 胡志明大区,2026-08-01T11:25:00.000000
ST_061,SG BÀ ĐIỂM,61,1,HCM 胡志明大区,2026-08-01T11:25:00.000000
ST_062,LA CẦN ĐƯỚC,62,1,HCM 胡志明大区,2026-08-01T11:25:00.000000
