Bu cc,Trng thi,Volume,Weight,Ngy vn hnh_Inbound,Ngy vn hnh_Forecast,Ngy vn hnh_Pickup,Ngy vn hnh_Arrival,Inbound Hour,Forecast Time,Pickup Time,Arrival Time,Loi rt
LA ĐỨC HÒA,Created,1,8,,2026-07-13,,,,2026-07-08 10:00,,,Rớt hôm trước
SG BÌNH TÂN,Created,3,47,,2026-07-13,,,,2026-07-08 13:00,,,Rớt hôm trước
SG THỦ ĐỨC,Inbound,1,16,2026-07-11,2026-07-06,2026-07-06,2026-07-09,2026-07-11 20:00,2026-07-06 07:00,2026-07-06 09:00,2026-07-10 00:00,Rớt hôm nay
SG BÌNH TRỊ ĐÔNG,Inbound,1,10,2026-07-06,2026-07-06,2026-07-06,,2026-07-06 23:00,2026-07-06 08:00,2026-07-06 11:00,,Rớt hôm nay
SG AN LẠC,Inbound,1,5,2026-07-06,2026-07-06,2026-07-06,,2026-07-06 23:00,2026-07-06 07:00,2026-07-06 11:00,,Rớt hôm nay
SG NHƠN ĐỨC,Inbound,1,8,2026-07-06,2026-07-05,2026-07-06,,2026-07-06 17:00,2026-07-06 05:00,2026-07-06 13:00,,Rớt hôm trước
SG CỦ CHI,Inbound,1,6,2026-07-06,2026-07-05,2026-07-06,,2026-07-06 20:00,2026-07-06 05:00,2026-07-06 14:00,,Rớt hôm trước
SG BÌNH TÂN,Inbound,1,11,2026-07-06,2026-07-06,2026-07-06,,2026-07-07 02:00,2026-07-06 08:00,2026-07-06 15:00,,Rớt hôm nay
SG TÂN THỚI HIỆP,Inbound,1,6,2026-07-06,2026-07-06,2026-07-06,,2026-07-06 21:00,2026-07-06 13:00,2026-07-06 16:00,,Rớt hôm nay
DT SA ĐÉC,Inbound,1,6,2026-07-06,2026-07-06,2026-07-06,,2026-07-06 23:00,2026-07-06 16:00,2026-07-06 17:00,,Rớt hôm nay
LA BẾN LỨC,Inbound,1,6,2026-07-13,2026-07-06,2026-07-06,2026-07-11,2026-07-13 20:00,2026-07-06 08:00,2026-07-06 17:00,2026-07-11 22:00,Rớt hôm nay
SG BÌNH LỢI,Inbound,1,6,2026-07-06,2026-07-06,2026-07-06,,2026-07-07 01:00,2026-07-06 10:00,2026-07-06 17:00,,Rớt hôm nay
SG CỦ CHI,Inbound,1,6,2026-07-06,2026-07-06,2026-07-06,,2026-07-07 01:00,2026-07-06 14:00,2026-07-06 17:00,,Rớt hôm nay
